"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"December 14, 2018","reba505","-","yes","LORD HAVE MERCY ON US!","Is this what the world has come to?!Utterly banal and filthy. My adult son ordered this game. He has free will, but I let my feelings be known. I cry for our human race; for our children.","1","-","-","https://www.amazon.com/gp/customer-reviews/R1YI9UVE92PTEY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 7, 2018","Gam Gam Family","-","yes","One Star","Too much for a family game.  Didn't realize how across the line it would be!","1","-","-","https://www.amazon.com/gp/customer-reviews/RIXC7N0X2HBEW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 26, 2018","dare","-","yes","vulgar obsene x-rated","a 13 yr old meth head might think it is funny, I just cringed and didn't laugh much.","1","-","-","https://www.amazon.com/gp/customer-reviews/RETGQCLES01J5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 30, 2018","JJ on Amazon","-","yes","If you have an ounce of class, you will not like this "game"","If you are 18 and drunk, this game is for you, otherwise, stay clear.  I found the cards distasteful, embarrassing, and totally classless. I'm shocked and disgusted that so many people gave it high marks.  I bought it for a 22 yr. old who felt violated when she read some of the cards. I really messed up buying it as a gift!","1","-","-","https://www.amazon.com/gp/customer-reviews/R1PUKHKGVHJWEZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 27, 2018","Anita G Doran","-","yes","It’s not really funny","It’s just not very funny, compared to Relative Insanity. (Just wrote a review of that—5 stars.) The cards that are funny are also grossly filthy, and I’m no prude. I played with 4 other people, all in our 60’s, all well-educated professionals. We were trying to figure out what demographic it would appeal to. Too many of the cards were just “duh” stupid, or extremely serious. What can possibly be funny about “Child abuse” ??  I bought Relative Insanity for someone else as a requested gift. I bought CAH at the same time just because I had heard so much about it. I am sorry I wasted my money. I’ll buy Relative Insanity for our game nights, and am seriously thinking about returning CAH because it is just not that funny.","1","-","-","https://www.amazon.com/gp/customer-reviews/R2YZV02GETJJB2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 26, 2018","Lita A.","-","yes","If you are looking for wholesome entertainment, keep looking.","With five stars and over 30,000 reviews I thought we had a hit.It was a bust. Definitely NOT what I thought it would be.I hadn't bothered to actually read the  reviews. I know, rookie mistake.In order to play this game we would have had to edit a good percentage of the response cards due to vulgarity and inappropriateness.Of course, the box does specifically say it is a game for horrible people.  But that was a joke, right?Thanks Amazon, for having a generous return policy.  We'll stick with What Do You Meme?, Jack Box, and Exploding Kittens.","1","-","-","https://www.amazon.com/gp/customer-reviews/RCRGFOQAOFEM0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 28, 2018","N. Saenz","-","yes","I thought this would be better","I read the reviews, and I heard people say this was so fun.  The group of people I wanted to use this with includes two teens.  One of the reviews said they took out the cards that referred to God---one was'the blood of Christ'--2 referred to Jews in an antisemitic way, the rest were about sex mostly.  Well the idea is a great one but the authors must get their heads out of the can.  I decided to through it away","1","-","-","https://www.amazon.com/gp/customer-reviews/R2Z0QQF51VZGHE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 6, 2018","Lennita Kumar Mathura","-","yes","Used game sent","Game was open before I got to open it isn't  this a new game? I am super pissed now.","1","-","-","https://www.amazon.com/gp/customer-reviews/R8283BO1S6PCW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 29, 2018","L Koch","-","yes","Totally inappropriate","The only thing I recommend to do with this game is throw it in the trash where it belongs.  It should be XX rated.  The sexual innuendos go too far,  sexual abuse, beastiality, unheathy sex and much more.  My family loves board games but when we gave this a try we all reacted with thumbs down.  Should only be sold in adult book store.","1","-","-","https://www.amazon.com/gp/customer-reviews/R1JRG4XOKX5G5O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 30, 2018","Leah Hyatt","-","yes","fell off","I was really disappointed!","1","-","-","https://www.amazon.com/gp/customer-reviews/RITMLTLV6BGUW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
