"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"November 16, 2017","Not Offended","-","yes","Operation Get My Family Back","This game is so much fun.  I played it with 3 generations family last weekend.  I've been fearful of us drifting apart.  Usually the adult nephews are bored and ready to bolt.  Everybody has to be 'someplace.'  I had reservations about playing this game w my mom and her grandsons so I pulled maybe 30 of the most 'horrible' cards but after about 20 min I started shuffling them in.  We as a family haven't laughed and enjoyed each others' company in a VERY long time.  After 2 hours flashed past more than one face hurt from laughing.We like to think highly of ourselves but by the end the consensus was yup, we really are horrible people.  Funny but THAT bonded us.  Looking forward to Thanksgiving and I'm not the only one.","5","-","-","https://www.amazon.com/gp/customer-reviews/R28NNQ80PR8MM4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 30, 2018","Michael E. Corby","-","yes","Hilarious. The kids will want to play.","This is recommended for ages 17+. I brought it to a family dinner, knowing that the two kids, ages 11 and 14, would vacate to the basement after dinner to play on their computers. The somewhat precocious 14-year-old overheard that I had Cards Against Humanity and made it clear that while he had never played or even seen the game, he knew enough about it that he wanted to play if his parents would give him permission. They did, and what ensued was hilarity, but even better, it opened channels for discussion about sex, politics, justice, racism, homophobia and all the things that exist in society, and when things are funny and when they are not. What made breakthrough shows like South Park and The Simpsons funny when they premiered was their seeming inappropriateness, but they too broached topics that ought to be discussed by parents and children. In an age when information is available 24/7, along with misinformation, this may be the opportunity for families who value open discussion, education and critical thinking to open the door to those discussions. There's so much for parents to teach to and learn about their kids, and to a degree, vice-versa. It's not for everyone, but this family found it hilarious and vital. I wish there had been a way to have these discussions with parents or another responsible adult when I was a young teenager and had to find out what I could from a 1957 Encyclopedia Brittanica and a Webster's Dictionary.","5","-","-","https://www.amazon.com/gp/customer-reviews/R22EVI4OAL73PK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 2, 2016","Ash MarksTM","-","yes","Must have for every party or adult game night.","It's fairly common knowledge that this game is very offensive. So if you're easily offended, it's a no brainier that this is not the game for you. Lots of sexual cards, a bit of Holocaust 'humor' cards, and there are even a card or two in there mentioning pedophilia. My husband has a pretty obscene sense of humor, but even we had to take out some cards (mostly the pedophilia cards, and he doesn't like the ones mocking God or Jesus.) The game is amazing, though, so it's not really a big deal at all to toss 5 or 6 cards that go to far for us. There are PLENTY more to chose from that are still ridiculous and entertaining, especially if you go into the expansion packs.All we have to do is mention having this game at a party or get together and immediately dozens of hands fly up when we ask if anybody wants to play, or tons of 'I WANT TO PLAY!'s are shouted at the simply mention of having the game. It's especially entertaining to play with normally more reserved old ladies... because then the truth really comes out, and you find their just as disgusting a person as you are haha","5","-","-","https://www.amazon.com/gp/customer-reviews/R3RR31LK9GU02H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"October 29, 2014","Paul Gomez","-","yes","This game is just f***ing great!","Ever wondered what a grown-up version of Apples to Apples would look like? Well, Cards Against Humanity is the perfect response to that desire.If you've never played Apples to Apples or Cards Against Humanity, let me fill you in on how CAH works. There are Black Cards and there are White Cards. At the start of each round, one chosen player (The Judge) will select a Black Card from the stack. On these cards will be a phrase or question that needs to be answered/completed. This is where white cards come in. Players have 10 White Cards, which they use to complete the Black Card's question(s)/blank(s). After each player (besides The Judge) has chosen the best White Card in their hand to go with the Black Card, all players turn their White Cards in to The Judge. From here, The Judge reviews the White Cards and decides his/her favorite pairing of the White and Black Cards. The player who played the Judge's chosen White Card gets a point (if that matters to your group) and the gameplay starts all over.Let me give you an example with word-for-word examples of what you'll find on the Black and White cards.1. The Judge plays a Black Card that says: 'Life for the Native Americans was forever changed after the white man introduced them to ____________.'2. All players (exc. the Judge) choose a White Card.3. After everyone has chosen their White Card, the Judge reviews the responses: 'Smallpox Blankets', 'Drinking Alone', 'A Can of Whoop-Ass', and 'Take-Backsies'(Before you read these and think I'm an awful person, these are actual White Cards that I have seen played on the aforementioned Black Card)4. The Judge chooses 'Drinking Alone' and the player who picked this White Card wins the round.This game is great fun, but keep in mind that there are some edgy/racy/raunchy/explicit/graphic/vulgar White and Black cards. In fact, that's the point.If you don't have the right sense of humor to laugh at a card combination like 'Lifetime presents: __Pretending to Care__, the story of __Not Giving a S*** about the Third World__', then this is not a game that I would recommend for you.This is not a children's game, and this is not a game to play with Grandma (unless Grandma has a really effed up and awesome sense of humor). But if you and your friends enjoy laughing at the darker side of life, art, and pop culture... This is the perfect game for your next party.","5","-","-","https://www.amazon.com/gp/customer-reviews/R1X4FBU61D9XSF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"July 11, 2016","Divalalake","-","yes","Non-stop laughter and groans...  Simple fun for a gathering of the right (or wrong) people.","I've been hearing so much about this game, and I love opportunities to do things together with a good group of people.  So, I finally decided to buy this game.  It was everything I hoped and more!  The rules are fairly simple, and it didn't take long for the group of us to understand the premise of the game and then to truly embrace it.  The game doesn't tell you when a person has, 'won' so we decided after playing for over an hour that we should stop when someone reached 10 points.  We had a small group this time, just four of us.  And because it was our first time, we didn't use any of the recommended variations to the game.  And I don’t currently have any of the many expansion packs.  The rules are simple, find the best (or worst possible) words to fill in the blank for a phrase, or to answer a question.  The power to decide who provided the best answer is in the hands of one person and it rotates each turn.  There are lots of possible answers, and a decent amount of “questions” which is where I think all of the expansion decks must come in handy.  The cards are the same stock as a good set of playing cards.  So, that makes shuffling them fairly easy to do.  In all, it was definitely worth the money and I can’t wait to play again.  We even had a laugh over the inspection tag that was located in the box.  It’s NOT your standard tag.  I’m already planning a get together so I can get friends together to play.  I paid full price for this game, and did not receive any discount.  These are my unbiased opinions.","5","-","-","https://www.amazon.com/gp/customer-reviews/R15G3TTMUF4OU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 28, 2016","Sean and Heather Gilliland","-","yes","Hilarious yet wrong....so wrong.","If you like to laugh, and you don't take life too seriously then you will likely enjoy this game.  If you are the type to be easily offended I would RUN, because this is likely the most offensive game you will ever play.  I mean the name 'Card's against humanity' kinda hints at that though.  You will feel like you need a preacher, some holy water, to wach your mouth out with soap etc. after making some of the choices you make in this game.  You will feel even MORE guilty laughing your BOOTY off at it.  It's wrong.  Oh so wrong....yet so right.  You learn a lot about a person's humor when playing this game.  That is part of the concept actually.  If you are good at reading people you will quickly learn the patterns of a person's decision making.  Some people like to choose the 'best fit', some like to choose anything that has to do with bodily functions, Some like to choose the most random answer possible and some will choose anything that has an animal involved.  You will learn this about people (hopefully) and be able to customize your 'answers' to give yourself a better chance at winning.  That leaves me with the 'CONCEPT' of the game.  It's pretty easy.  Everyone gets a set number of answer cards that they do not show anyone.  Then one at a time someone will read a question card.  everyone (other than person asking the question), is then to put down the best answer to that question from the cards they have in their hand.  The person who asked the question then reads them all out loud (this is where you will CRY laughing at some of the answers) and then selects which card they feel is best.  Whoever placed that card down gets a point.  Most points in the end wins.  Simple, silly, fun.  Don't play with your grandmother unless she is a dirty, dirty lady ;-)The box is small so it is an easy game to bring to a party or on vacation.  It is easy to store away and pull out for an instant drinking game and fun time (with the right crowd obviously).","5","-","-","https://www.amazon.com/gp/customer-reviews/R2GL06V6FPLPJV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 26, 2018","TGG18","-","yes","Great for storing all your cards and expansion packs together","I gave this box to my boyfriend for Christmas after he had received the Green, Red and Blue expansion packs. It got to be annoying to have all those boxes laying around. I thought it would be nice to have all the cards together in one place and to be able to shuffle them all together.  So far, he has the original gamoe pack, the Red Box, Blue Box, Green Box, Jew Pack, one of the Christmas Packs, Period Pack and Dad Pack. You can see from the pictures that those take up a little over half of the box all together. It's really nice having them all in one box and makes it much easier to travel with.It comes with 50 blank cards that we will probably never use. We would have preferred those to be additional cards with sayings already on them, but they didn't ask us when designing it. However, it does also come with 20 cards that have sayings on them.There is an additional hidden card in the lid of the box that is pretty amazing. I don't like that you have to cut or tear the paper of the lid to get it out but it doesn't seem to bother my boyfriend. I just think it's kinda ugly now, but definitely worth getting that card out!I'm now reading that there is an additional hidden card in the bottom of the box that we missed. I will have to check that out and see if I can find it and report back.I'm not sure what else I can say about a box.  It does not come with the original CAH game. It's simply an empty storage box for the game and expansion packs. If you plan to add on to the original CAH game, I definitely recommend purchasing this box to store them all in.**UPDATE**After looking for that additional hidden card, I'm here to report we found it! If you look in the bottom of the box, where the cards are stored, the extra card is hidden in the the bottom of the center compartment. I'm sorry but I did not snap a picture but you can Google it online if you're having troubles locating it.I also realized that we never mixed in the 20 expansion cards that came with the Bigger Blacker Box. They all have sayings with the word 'box' in them. (No, not that 'box') They're actually pretty lame considering they are from CAH who have made some pretty hilarious cards.  They say things like, 'In a box' and 'A box within a box' etc... We didn't find them funny and have never used them or ever plan to.","5","https://images-na.ssl-images-amazon.com/images/I/718FpBRJvkL._SY88.jpg https://images-na.ssl-images-amazon.com/images/I/61GnJP0wgIL._SY88.jpg https://images-na.ssl-images-amazon.com/images/I/71b1FfPEnQL._SY88.jpg https://images-na.ssl-images-amazon.com/images/I/71Nt15w7uWL._SY88.jpg","-","https://www.amazon.com/gp/customer-reviews/R3LYRR6TCNYNTJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 27, 2017","David Galuhn","-","yes","Oh the Humanity - Cards Against Humanity That Is","Leave your inhabitions at the door.  This game is fun, entertaining and you may discover things about your family and freinds you didn't know before.  Cards Against Humanity is a quick paced interactive game inducing tears of laughter throughout.  Caution though, Don't play this game with Prudes or, anyone who is easily embarassed saying naughty words let alone thinking them.  Although, I can imagine there might be a group of Nuns who would see the entertainment value in this game.  Set aside several hours to get the full affect for this game, Cold Nights, Rainy Days are perfect!Most of all - Have Fun!","5","-","-","https://www.amazon.com/gp/customer-reviews/RN2L2472Z3FI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 11, 2018","Adam B. Bugay","-","yes","With Cards Against Humanity, anything goes and I guarantee you hilarity will ensue! Highly recommended!","This is one hilariously fun, adult themed card game that will generate tons of laughs and will be your go to party game for your future endeavors. It's moderately priced at around $25 via Prime, but the price of admission was totally worth it for me and my friends.Overview:Cards Against Humanity is a party game for adults where players try to win the favor of the current “Card Czar” by playing a white card that answers the question or completes the statement posed by a black card. The outcome is usually hilarious, with tons of possible outcomes!Positives:- Great game for a group of 4 or more players. Generally the more players the better.- Little to no downtime.- The game is extremely simple to pick up and play.- There is a large variety of cards, both white and black, so the game is very replayable with tons of possibilities.- One of the funnest, most hilarious party games that I have ever played, and is the perfect option for parties/college/etc.Negatives:- You will need at least four people to play this title. Any less and the game becomes a little boring.- This is not a game for youngsters or up tight folks, recommended 18+ here.- The standard set costs around $25, and add-ons will set you back another $20 for each set.I simply love this card game, and I would highly recommend it to anyone looking for a go to party game option for 18+ individuals looking to have a great time.","5","-","-","https://www.amazon.com/gp/customer-reviews/RR2Q4U62BLUCU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 25, 2016","Jess Me","-","yes","Oddly Charming","This is rude, crude, and I absolutely love it! It has been a hit with friends and family members. My mom even played, and laughed her butt off.  Great game to just sit around and share many, many, laughs with each other!  This is a guaranteed game when getting together!I have played this Cards Against Humanity so many time since my purchase, and you would think that without purchasing any other expansions by now it would become boring and repetitive, but not at all. I have played many times with the same people, and we laugh all night.  The initial question to begin the game is the icebreaker every time; you would have to be a fly on the wall to see how crazy it is for us to determine who goes first! There may be other influences while playing, but the game recommends outside influences anyway!  We have even adapted to be a drinking game from time to time, whatever floats your boat on this. No limitations or restrictions, other than having a great time with the people around you.  My Aunt played recently; she is pushing the age somewhere between 65-70 years old.  She did better than anyone else sitting there.  She sat down, and brought her A-game for a first timer!  She had some of the funniest comebacks!  It was absolutely hilarious and painfully funny.  Tears...tears of constant painful laughter.  This is seriously a game anyone with an open mind can enjoy, and those 'stick in the muds' will be discovered sitting somewhere sulking. Anyone can have fun with this; you just have to give it a chance! Cards Against Humanity is a hit with every friendly event!","5","-","-","https://www.amazon.com/gp/customer-reviews/RRX6OU3SDTJ0C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
