"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"November 30, 2018","Jared V","-","yes","Way too big","I got CAH and the three color box expansions (red, blue, and green). The only large expansion I don't have is the Absurd pack (I don't have any of the little 20/30 card packs). That being said, the base game plus all official big packs but one barely fill up 2/5ths of this box. I have no idea why it is so damn big. You'll have to get lots of unofficial knock-off expansions if you intend on filling this box up. If I had every single official Cards Against Humanity card, I'd still have this thing half empty. If you have lots of extra card games to put in, that might make this box more sensible, but again- be prepared to not have a full box if you stick to the official cards.","3","-","-","https://www.amazon.com/gp/customer-reviews/R25UUMU1Q604VI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 13, 2016","Judy M","-","yes","Not My Thing","Not really my game. Too many embarrassing sex cards that are not appropriate in mixed crowds. So I took all those cards out and we had a great time. Some really hard laughs.","3","-","-","https://www.amazon.com/gp/customer-reviews/R3KG0RH5S40JR6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 27, 2014","Shawn Davis","-","yes","A fun game, but you can't play it often","If you are a fan of 'social' games where the larger goal is conversation rather than competition this can be a really fun game to play with friends.  Its very similar to 'Apples to Apples' so if you are a fan of that game then this would also be a good pick.My biggest complaint is that the number of cards is small, so after playing a few rounds with a large group, you have gone through the whole deck and its much harder to have a good time after having seen them all.  After this, you basically need to wait a while to play again in order to be forget enough of the cards for it to be fresh again.Obviously not a game to consider playing with kids.","3","-","-","https://www.amazon.com/gp/customer-reviews/R39N63Y888XQAU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 13, 2017","dotcompost","-","yes","Over-hyped.","Meh. This is fun the first and maybe second time you play. After that, the rudeness of the game gets a little old.","3","-","-","https://www.amazon.com/gp/customer-reviews/R2C2T4W58RQOJT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 28, 2017","thatgirl","-","yes","The answers are sometimes funny, gross and just wrong","We ordered this at Christmas time and we have played it a few times. After two or three times it gets a little repetitive unless you have an expansion set or change the group of people that are playing the game with you. The answers are sometimes funny, gross and just wrong! We did laugh a lot and it was interesting to see what card people would pick as their favorite answer.","3","-","-","https://www.amazon.com/gp/customer-reviews/R392N3LVJE8FN6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 12, 2017","Tawnie","-","yes","This game is fun but the only thing I have an issue with ...","This game is fun but the only thing I have an issue with is that so many of the cards are so stupid that you can't even play with them. I would say seriously like two thirds of each pack is pretty much garbage. Other than that it's pretty fun. Definitely the kind of game that you would want to play with a lot of people though.","3","-","-","https://www.amazon.com/gp/customer-reviews/R1UTJ8HBH7NTL9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 4, 2019","John C","-","yes","A bit crass","Maybe these are all legit reviews, but I wasn't som impressed. It was OK, but used pretty strong language. (I love a well used swear word, but don't like general trash talk.) Definitely not as good as Dixit!","3","-","-","https://www.amazon.com/gp/customer-reviews/R2PM66VEO3EEAT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 2, 2016","Ava","-","yes","Funny but gets old quick.","Hilarious with the right group of friends, but after playing it once, even with a new expansion, the humor dwindles rapidly. Winning is completely subjective, this contributes to it getting boring and once the hilarity dies off, it's just gross. At some point I get sick of acting like I'm 15 and laughing at 'cum guzzling pac man' cards. Ha.","3","-","-","https://www.amazon.com/gp/customer-reviews/RNRKZZGQQUL3X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 8, 2016","whit","-","yes","A fun game, but to keep it fresh you need ...","A fun game, but to keep it fresh you need to constantly purchase expansion packs. After a year of playing my family has already tossed it aside. However, when we first started playing it was a hoot. Overall, fun and somewhat innovative game to play with fun friends and family. I do think this game is a bit of a fad and the trendiness of it will subside.","3","-","-","https://www.amazon.com/gp/customer-reviews/R330R2EPQ6GXI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 1, 2016","esndk","-","yes","Gets old by the 3rd time playing it","A really fun game to play the first time around. Then the laughs become forced and by the 3rd or 4th time it's no longer fun. If you only have the starter box the game will end quickly so if you really want this game and want to play it a few times I suggest you buy the bigger blacker box then call it a loss. Disappointing.","3","-","-","https://www.amazon.com/gp/customer-reviews/R230Y1A8IMS12X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
